timestamp,i,campaign_id,adset_id,creative_id,ad_id,status,note
2026-04-16T21:53:35.231032+00:00,3,120242347341230475,120242723504270475,1720396529125558,120242723508130475,OK,
2026-04-16T21:53:35.231446+00:00,4,120242347341230475,120242723504240475,1720396529125558,120242723508080475,OK,
2026-04-16T21:53:35.231824+00:00,5,120242347341230475,120242723504200475,1720396529125558,120242723510530475,OK,
2026-04-16T21:53:35.230445+00:00,2,120242347341230475,120242723504880475,1720396529125558,120242723510560475,OK,
2026-04-16T21:53:35.229202+00:00,1,120242347341230475,120242723505230475,1720396529125558,120242723515140475,OK,
2026-04-16T21:54:08.349336+00:00,8,120242347341230475,120242723517440475,1720396529125558,120242723553280475,OK,
2026-04-16T21:54:08.340028+00:00,6,120242347341230475,120242723519700475,1720396529125558,120242723553640475,OK,
2026-04-16T21:54:08.346217+00:00,7,120242347341230475,120242723517460475,1720396529125558,120242723553990475,OK,
2026-04-16T21:54:08.352444+00:00,9,120242347341230475,120242723517370475,1720396529125558,120242723553310475,OK,
2026-04-16T21:54:16.301273+00:00,10,120242347341230475,120242723530720475,1720396529125558,120242723555770475,OK,
2026-04-16T21:54:47.324276+00:00,14,120242347341230475,120242723560150475,1720396529125558,120242723589470475,OK,
2026-04-16T21:54:47.163563+00:00,13,120242347341230475,120242723559920475,1720396529125558,120242723589500475,OK,
2026-04-16T21:54:46.882590+00:00,11,120242347341230475,120242723556210475,1720396529125558,120242723590230475,OK,
2026-04-16T21:54:53.816338+00:00,15,120242347341230475,120242723565690475,1720396529125558,120242723591000475,OK,
2026-04-16T21:54:46.954084+00:00,12,120242347341230475,120242723559890475,1720396529125558,120242723592460475,OK,
2026-04-16T21:55:25.007519+00:00,17,120242347341230475,120242723596720475,1720396529125558,120242723645280475,OK,
2026-04-16T21:55:25.630953+00:00,18,120242347341230475,120242723615320475,1720396529125558,120242723646850475,OK,
2026-04-16T21:55:24.900357+00:00,16,120242347341230475,120242723596390475,1720396529125558,120242723668240475,OK,
2026-04-16T21:55:30.466561+00:00,20,120242347341230475,120242723629420475,1720396529125558,120242723701150475,OK,
2026-04-16T21:55:30.451678+00:00,19,120242347341230475,120242723629390475,1720396529125558,120242723701200475,OK,
2026-04-16T21:55:52.474285+00:00,21,120242347341230475,120242723660760475,1720396529125558,120242723716550475,OK,
2026-04-16T21:55:52.512241+00:00,22,120242347341230475,120242723671560475,1720396529125558,120242723716180475,OK,
2026-04-16T21:56:07.103504+00:00,23,120242347341230475,120242723697640475,1720396529125558,120242723759860475,OK,
2026-04-16T21:56:14.628544+00:00,25,120242347341230475,120242723724380475,1720396529125558,120242723761680475,OK,
2026-04-16T21:56:14.617524+00:00,24,120242347341230475,120242723724190475,1720396529125558,120242723784360475,OK,
2026-04-16T21:56:22.128883+00:00,26,120242347341230475,120242723737020475,1720396529125558,120242723784080475,OK,
2026-04-16T21:56:22.132345+00:00,27,120242347341230475,120242723737100475,1720396529125558,120242723785520475,OK,
2026-04-16T21:57:01.211100+00:00,31,120242347341230475,120242723791490475,1720396529125558,120242723863950475,OK,
2026-04-16T21:57:01.037847+00:00,30,120242347341230475,120242723790570475,1720396529125558,120242723863810475,OK,
2026-04-16T21:56:53.809549+00:00,29,120242347341230475,120242723787700475,1720396529125558,120242723863750475,OK,
2026-04-16T21:56:53.807967+00:00,28,120242347341230475,120242723787200475,1720396529125558,120242723864650475,OK,
2026-04-16T21:57:01.297476+00:00,32,120242347341230475,120242723810330475,1720396529125558,120242723875890475,OK,
2026-04-16T21:57:31.266895+00:00,33,120242347341230475,120242723881910475,1720396529125558,120242723945170475,OK,
2026-04-16T21:57:31.492023+00:00,36,120242347341230475,120242723881900475,1720396529125558,120242723945850475,OK,
2026-04-16T21:57:31.272442+00:00,35,120242347341230475,120242723881970475,1720396529125558,120242723946310475,OK,
2026-04-16T21:57:31.267674+00:00,34,120242347341230475,120242723882110475,1720396529125558,120242723947100475,OK,
2026-04-16T21:57:37.784016+00:00,37,120242347341230475,120242723894760475,1720396529125558,120242723956060475,OK,
2026-04-16T21:58:09.219213+00:00,38,120242347341230475,120242723951240475,1720396529125558,120242724007330475,OK,
2026-04-16T21:58:09.283216+00:00,39,120242347341230475,120242723959870475,1720396529125558,120242724007350475,OK,
2026-04-16T21:58:15.705338+00:00,41,120242347341230475,120242723961030475,1720396529125558,120242724008050475,OK,
2026-04-16T21:58:09.449632+00:00,40,120242347341230475,120242723959940475,1720396529125558,120242724009200475,OK,
2026-04-16T21:58:15.712870+00:00,42,120242347341230475,120242723971440475,1720396529125558,120242724012580475,OK,
2026-04-16T21:58:50.677725+00:00,43,120242347341230475,120242724010530475,1720396529125558,120242724022670475,OK,
2026-04-16T21:58:50.697989+00:00,44,120242347341230475,120242724010480475,1720396529125558,120242724038210475,OK,
2026-04-16T21:58:57.019009+00:00,46,120242347341230475,120242724018320475,1720396529125558,120242724065360475,OK,
2026-04-16T21:58:57.016248+00:00,45,120242347341230475,120242724018350475,1720396529125558,120242724065340475,OK,
2026-04-16T21:58:57.022258+00:00,47,120242347341230475,120242724018260475,1720396529125558,120242724067370475,OK,
2026-04-16T21:59:18.977796+00:00,49,120242347341230475,120242724046060475,1720396529125558,120242724071430475,OK,
2026-04-16T21:59:12.356525+00:00,48,120242347341230475,120242724044020475,1720396529125558,120242724071450475,OK,
