timestamp,n,i,campaign_id,campaign_name,adset_id,creative_id,ad_id,status,note
2026-04-16T21:06:26.977148+00:00,2,4,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720903180475,1720396529125558,120242720912210475,OK,
2026-04-16T21:06:26.979807+00:00,2,5,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720903120475,1720396529125558,120242720912560475,OK,
2026-04-16T21:06:26.973132+00:00,2,2,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720903050475,1720396529125558,120242720913150475,OK,
2026-04-16T21:06:26.970680+00:00,2,1,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720903020475,1720396529125558,120242720913110475,OK,
2026-04-16T21:06:26.974805+00:00,2,3,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720903170475,1720396529125558,120242720915030475,OK,
2026-04-16T21:06:47.625253+00:00,2,6,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720915550475,1720396529125558,120242720933740475,OK,
2026-04-16T21:06:47.953307+00:00,2,9,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720922110475,1720396529125558,120242720934780475,OK,
2026-04-16T21:06:47.944839+00:00,2,8,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720922150475,1720396529125558,120242720950580475,OK,
2026-04-16T21:06:47.702674+00:00,2,7,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720922220475,1720396529125558,120242720951180475,OK,
2026-04-16T21:06:56.078595+00:00,2,10,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720929290475,1720396529125558,120242720952150475,OK,
2026-04-16T21:07:10.692296+00:00,2,11,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720937060475,1720396529125558,120242720957740475,OK,
2026-04-16T21:07:11.126637+00:00,2,12,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720954990475,1720396529125558,120242720984820475,OK,
2026-04-16T21:07:19.448448+00:00,2,13,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720960570475,1720396529125558,120242720985430475,OK,
2026-04-16T21:07:19.451992+00:00,2,15,120242720879300475,[Dương Mi]-[03_L1_V12]-#2,120242720961070475,1720396529125558,120242720985490475,OK,
